.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10180106	1018	14.5902279792746	DNK	.
2	2	3	2	2	2	2	3	2	2	3	2	2	2	3	2	10180107	1018	14.5902279792746	DNK	0
2	1	4	1	1	1	1	4	4	1	4	1	1	1	1	1	10180108	1018	14.5902279792746	DNK	1
2	1	2	1	1	1	1	4	4	1	4	1	1	1	1	1	10180110	1018	14.5902279792746	DNK	1
2	2	2	3	2	2	2	4	3	2	.	2	2	2	2	2	10180112	1018	14.5902279792746	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10180113	1018	14.5902279792746	DNK	1
3	2	2	2	2	1	1	4	4	1	4	2	3	2	3	3	10180114	1018	14.5902279792746	DNK	1
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10180115	1018	14.5902279792746	DNK	.
3	2	2	3	3	2	2	4	4	4	4	1	2	2	2	2	10180116	1018	14.5902279792746	DNK	1
2	2	3	2	1	1	1	4	3	2	4	1	2	1	2	2	10180117	1018	14.5902279792746	DNK	1
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10180118	1018	14.5902279792746	DNK	.
.	1	.	2	1	1	1	4	4	1	4	1	1	1	2	2	10180119	1018	14.5902279792746	DNK	1
3	2	3	3	2	2	1	3	3	1	2	2	2	2	2	2	10220101	1022	15.2942038078191	DNK	0
2	1	2	2	2	1	1	4	4	2	3	2	1	1	1	1	10220102	1022	15.2942038078191	DNK	1
1	1	2	1	2	1	1	4	4	1	4	1	1	1	1	1	10220103	1022	15.2942038078191	DNK	1
3	1	3	2	1	1	1	4	4	1	4	1	1	1	3	1	10220104	1022	15.2942038078191	DNK	1
3	2	3	2	2	2	2	3	3	2	3	2	2	2	2	2	10220105	1022	15.2942038078191	DNK	0
3	1	1	3	1	1	1	4	4	1	4	1	1	4	4	1	10220106	1022	15.2942038078191	DNK	1
2	2	2	2	2	1	1	4	4	2	3	2	2	2	3	2	10220107	1022	15.2942038078191	DNK	0
2	2	2	3	2	1	1	4	4	1	3	2	2	2	2	2	10220108	1022	15.2942038078191	DNK	1
2	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10220109	1022	15.2942038078191	DNK	0
3	1	2	3	1	1	1	4	4	1	4	1	1	2	2	1	10220110	1022	15.2942038078191	DNK	0
2	2	1	2	1	1	1	4	4	2	4	2	1	3	3	2	10220111	1022	15.2942038078191	DNK	1
2	2	2	1	2	2	2	3	3	2	2	2	2	2	2	1	10220112	1022	15.2942038078191	DNK	1
1	2	2	2	2	2	2	3	2	3	1	2	2	2	1	1	10220113	1022	15.2942038078191	DNK	0
1	1	4	2	2	1	1	3	3	2	3	1	1	2	2	2	10220114	1022	15.2942038078191	DNK	0
1	2	2	2	1	1	1	4	2	1	1	1	1	1	2	1	10220115	1022	15.2942038078191	DNK	0
2	2	2	2	2	1	2	4	3	2	4	2	2	2	2	2	10220116	1022	15.2942038078191	DNK	1
2	2	2	2	2	2	1	3	3	2	3	2	2	2	2	2	10220117	1022	15.2942038078191	DNK	0
2	2	2	2	2	2	1	3	4	1	4	2	2	3	2	2	10220118	1022	15.2942038078191	DNK	1
2	1	2	2	2	1	1	4	4	1	4	1	2	1	1	1	10220119	1022	15.2942038078191	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	2	2	1	10220120	1022	15.2942038078191	DNK	0
4	2	3	3	2	1	1	4	4	1	4	2	2	3	4	2	10220121	1022	15.2942038078191	DNK	0
3	1	2	2	1	1	1	4	4	1	4	2	2	2	2	2	10220123	1022	15.2942038078191	DNK	0
1	2	2	1	1	1	2	2	1	1	1	2	1	3	1	2	10230201	1023	25.8163031027126	DNK	0
3	1	1	1	1	1	1	3	4	1	1	2	1	1	2	1	10230202	1023	25.8163031027126	DNK	0
3	1	1	2	1	1	1	3	4	1	4	1	1	1	2	1	10230203	1023	25.8163031027126	DNK	0
3	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10230204	1023	25.8163031027126	DNK	1
3	2	2	3	2	1	1	4	4	1	4	2	2	2	2	2	10230205	1023	25.8163031027126	DNK	0
3	1	1	2	1	1	1	4	4	1	4	1	1	2	2	1	10230207	1023	25.8163031027126	DNK	0
2	1	1	1	1	1	1	4	4	1	3	1	1	2	1	1	10230209	1023	25.8163031027126	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10230210	1023	25.8163031027126	DNK	0
.	1	1	.	2	1	1	4	4	1	4	1	1	1	2	1	10230211	1023	25.8163031027126	DNK	1
3	1	2	3	2	1	1	4	4	1	4	1	1	1	2	2	10230212	1023	25.8163031027126	DNK	0
2	1	3	3	2	1	1	4	4	1	3	1	1	2	2	1	10230213	1023	25.8163031027126	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10230214	1023	25.8163031027126	DNK	0
2	1	1	2	1	1	1	4	4	1	4	1	1	3	1	1	10230215	1023	25.8163031027126	DNK	1
4	2	2	3	4	1	1	4	4	1	4	2	2	1	2	2	10230216	1023	25.8163031027126	DNK	1
3	2	2	3	2	2	2	3	3	2	3	2	2	2	2	2	10230218	1023	25.8163031027126	DNK	0
2	2	3	2	3	2	2	3	2	2	3	3	3	3	3	3	10230219	1023	25.8163031027126	DNK	0
3	3	2	2	2	1	1	4	4	1	3	3	3	3	3	3	10230220	1023	25.8163031027126	DNK	0
2	2	2	1	1	1	1	4	4	1	3	1	1	2	2	1	10240101	1024	14.9260652507321	DNK	0
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10240102	1024	14.9260652507321	DNK	0
2	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10240103	1024	14.9260652507321	DNK	1
4	1	1	1	1	1	1	4	4	1	2	1	1	1	1	1	10240104	1024	14.9260652507321	DNK	0
1	2	2	1	2	.	2	2	2	1	1	2	2	.	1	2	10240105	1024	14.9260652507321	DNK	0
2	2	2	2	1	2	2	3	3	2	2	2	3	2	3	2	10240106	1024	14.9260652507321	DNK	0
2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	10240107	1024	14.9260652507321	DNK	0
.	2	2	.	2	2	3	3	3	1	3	2	2	.	3	2	10240108	1024	14.9260652507321	DNK	1
3	2	.	3	2	1	1	4	4	1	4	2	2	2	3	2	10240109	1024	14.9260652507321	DNK	1
2	2	1	1	1	1	1	4	4	1	4	1	1	2	1	1	10240110	1024	14.9260652507321	DNK	0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10240111	1024	14.9260652507321	DNK	.
2	2	2	2	2	1	1	3	4	1	3	2	2	2	2	2	10240112	1024	14.9260652507321	DNK	0
3	2	2	2	2	1	1	4	4	1	4	2	3	3	3	1	10240113	1024	14.9260652507321	DNK	1
1	1	3	1	3	1	1	4	4	1	4	1	1	2	1	1	10240114	1024	14.9260652507321	DNK	0
3	1	2	3	2	1	1	4	4	1	2	1	1	2	2	1	10240115	1024	14.9260652507321	DNK	0
2	2	2	2	1	1	1	4	4	1	4	1	1	2	2	1	10240116	1024	14.9260652507321	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10240117	1024	14.9260652507321	DNK	0
2	2	3	2	2	1	1	4	4	1	4	2	2	2	3	2	10240118	1024	14.9260652507321	DNK	1
2	2	3	3	2	1	1	4	3	1	3	1	1	1	2	2	10240119	1024	14.9260652507321	DNK	1
4	3	2	3	2	1	2	4	3	3	2	2	2	3	2	1	10240121	1024	14.9260652507321	DNK	0
2	2	3	2	2	1	1	4	4	1	3	2	2	2	2	2	10240122	1024	14.9260652507321	DNK	0
2	1	1	2	2	1	1	4	4	1	4	2	2	2	3	1	10240123	1024	14.9260652507321	DNK	1
2	2	3	2	2	1	2	4	4	1	3	2	2	3	3	2	10240124	1024	14.9260652507321	DNK	0
3	1	2	1	1	1	1	3	3	1	4	1	1	1	4	1	10250101	1025	13.6954591088083	DNK	0
3	2	4	3	2	1	1	4	4	1	4	2	2	4	4	2	10250102	1025	13.6954591088083	DNK	1
3	3	3	3	3	2	2	3	2	3	2	3	3	3	3	3	10250103	1025	13.6954591088083	DNK	0
2	1	1	1	1	1	1	4	4	1	4	1	1	2	2	1	10250104	1025	13.6954591088083	DNK	1
4	3	4	4	4	2	3	4	3	4	2	3	3	3	3	3	10250105	1025	13.6954591088083	DNK	0
3	2	2	2	2	1	1	4	4	1	3	2	2	3	3	2	10250106	1025	13.6954591088083	DNK	1
3	2	2	3	2	2	1	4	4	1	2	2	2	2	3	3	10250107	1025	13.6954591088083	DNK	0
2	3	3	3	3	2	2	4	2	3	3	3	3	2	3	3	10250108	1025	13.6954591088083	DNK	0
2	2	3	3	2	2	2	3	4	1	4	2	2	3	3	2	10250109	1025	13.6954591088083	DNK	1
1	1	2	2	1	1	1	4	4	1	4	1	1	2	2	1	10250110	1025	13.6954591088083	DNK	1
2	2	2	2	2	1	1	4	4	1	4	1	1	3	2	1	10250111	1025	13.6954591088083	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	2	1	10250112	1025	13.6954591088083	DNK	0
4	2	2	3	2	2	2	3	3	1	3	2	3	3	3	2	10250113	1025	13.6954591088083	DNK	0
3	2	2	3	3	2	3	1	1	2	1	2	2	2	2	2	10250114	1025	13.6954591088083	DNK	0
2	2	2	2	3	1	1	4	4	1	3	2	2	2	3	2	10250115	1025	13.6954591088083	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10250116	1025	13.6954591088083	DNK	1
4	2	2	3	3	1	1	4	4	1	4	2	3	2	4	3	10250117	1025	13.6954591088083	DNK	1
1	1	3	1	3	1	1	4	4	1	3	2	2	2	3	2	10250118	1025	13.6954591088083	DNK	0
3	2	2	3	2	2	1	3	3	1	2	3	2	3	3	2	10250119	1025	13.6954591088083	DNK	1
2	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10250120	1025	13.6954591088083	DNK	1
3	1	1	2	2	2	2	3	3	2	2	2	2	2	.	2	10250122	1025	13.6954591088083	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	2	3	1	10250123	1025	13.6954591088083	DNK	0
2	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10270101	1027	6.56822990673575	DNK	0
4	1	2	3	1	1	1	4	4	1	2	1	1	2	2	1	10270102	1027	6.56822990673575	DNK	1
3	1	3	2	1	1	1	4	4	1	3	1	1	1	1	1	10270103	1027	6.56822990673575	DNK	1
3	2	2	2	2	1	1	4	3	1	3	2	2	3	2	2	10270104	1027	6.56822990673575	DNK	0
3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	10270105	1027	6.56822990673575	DNK	0
2	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	10270106	1027	6.56822990673575	DNK	0
2	2	3	2	2	2	2	3	2	2	2	1	1	1	1	1	10270107	1027	6.56822990673575	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10270108	1027	6.56822990673575	DNK	0
2	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10270109	1027	6.56822990673575	DNK	1
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270110	1027	6.56822990673575	DNK	.
4	1	1	2	2	1	1	4	4	1	4	2	3	2	4	3	10270111	1027	6.56822990673575	DNK	1
2	2	2	2	2	2	2	3	2	1	3	2	2	2	2	2	10270112	1027	6.56822990673575	DNK	1
3	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10270113	1027	6.56822990673575	DNK	1
3	2	2	2	1	2	2	4	1	1	4	2	2	2	3	3	10270114	1027	6.56822990673575	DNK	1
3	2	3	3	2	2	2	3	3	1	3	1	1	2	2	1	10270115	1027	6.56822990673575	DNK	1
3	2	2	3	2	2	2	3	2	2	2	2	2	3	2	2	10270116	1027	6.56822990673575	DNK	0
2	3	3	3	2	2	3	3	3	3	3	1	1	1	1	1	10270117	1027	6.56822990673575	DNK	0
3	2	2	2	1	1	1	4	4	1	3	2	2	1	2	2	10270119	1027	6.56822990673575	DNK	0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270201	1027	6.93313156822107	DNK	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270202	1027	6.93313156822107	DNK	.
2	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10270203	1027	6.93313156822107	DNK	1
3	2	2	2	2	1	1	4	4	2	3	1	1	3	3	2	10270204	1027	6.93313156822107	DNK	1
2	1	2	2	1	1	1	4	4	1	4	1	1	1	1	1	10270205	1027	6.93313156822107	DNK	1
3	2	4	3	2	1	1	4	4	2	4	1	1	2	3	2	10270206	1027	6.93313156822107	DNK	1
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270207	1027	6.93313156822107	DNK	1
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270208	1027	6.93313156822107	DNK	.
3	2	2	2	2	.	.	.	.	.	.	.	.	.	.	.	10270209	1027	6.93313156822107	DNK	0
2	2	4	4	4	2	1	4	3	4	1	1	1	1	1	1	10270210	1027	6.93313156822107	DNK	0
1	2	3	2	2	1	1	4	3	3	1	1	3	2	1	4	10270213	1027	6.93313156822107	DNK	0
2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	10270214	1027	6.93313156822107	DNK	0
2	2	2	2	2	2	2	3	2	2	2	1	1	1	1	1	10270215	1027	6.93313156822107	DNK	1
2	1	1	1	1	3	2	4	4	2	3	1	2	3	3	2	10270216	1027	6.93313156822107	DNK	0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270217	1027	6.93313156822107	DNK	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10270218	1027	6.93313156822107	DNK	.
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10270219	1027	6.93313156822107	DNK	0
2	2	2	2	2	2	2	4	4	2	4	2	2	2	2	2	10270220	1027	6.93313156822107	DNK	0
2	1	2	2	1	1	1	4	4	2	4	1	1	1	2	2	10290202	1029	14.0236722625216	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	3	1	1	10290203	1029	14.0236722625216	DNK	1
1	1	1	1	1	1	1	4	4	1	3	1	1	1	3	1	10290204	1029	14.0236722625216	DNK	1
2	2	2	3	2	1	1	4	4	1	4	2	2	2	2	2	10290205	1029	14.0236722625216	DNK	1
3	1	2	2	1	1	1	4	4	1	1	2	2	2	2	1	10290206	1029	14.0236722625216	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	2	3	1	10290207	1029	14.0236722625216	DNK	1
3	2	2	2	1	1	1	4	3	1	4	2	2	1	2	1	10290208	1029	14.0236722625216	DNK	0
4	2	2	4	2	1	1	4	4	1	4	1	2	4	3	2	10290209	1029	14.0236722625216	DNK	0
1	1	3	2	2	1	1	4	4	1	2	2	2	1	2	1	10290210	1029	14.0236722625216	DNK	0
2	1	3	2	1	1	1	4	4	2	3	1	1	3	2	1	10290211	1029	14.0236722625216	DNK	0
3	1	1	1	1	1	1	4	4	2	3	1	1	2	2	1	10290212	1029	14.0236722625216	DNK	1
3	2	2	.	.	1	1	4	4	1	4	.	2	2	3	.	10290213	1029	14.0236722625216	DNK	1
4	2	2	3	3	2	3	4	3	2	2	2	2	3	4	3	10290214	1029	14.0236722625216	DNK	0
3	2	3	2	2	2	2	2	2	1	1	3	3	2	3	2	10290215	1029	14.0236722625216	DNK	0
2	1	1	2	1	1	1	4	4	1	4	1	1	1	2	1	10290217	1029	14.0236722625216	DNK	1
2	2	2	2	1	2	1	4	4	1	4	1	1	1	2	1	10290218	1029	14.0236722625216	DNK	0
4	2	2	3	3	2	3	3	2	3	1	2	2	2	3	2	10290219	1029	14.0236722625216	DNK	0
3	2	3	2	2	3	1	3	4	1	2	1	1	1	3	2	10290220	1029	14.0236722625216	DNK	1
2	2	2	2	2	1	1	4	4	1	3	2	2	3	3	1	10300101	1030	7.01453309430052	DNK	0
4	3	3	4	3	1	1	3	3	1	3	3	3	3	3	3	10300102	1030	7.01453309430052	DNK	0
2	1	1	2	1	1	1	4	4	1	4	1	1	4	2	1	10300104	1030	7.01453309430052	DNK	0
3	2	2	3	2	2	2	4	3	2	4	2	2	2	2	2	10300105	1030	7.01453309430052	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10300106	1030	7.01453309430052	DNK	0
3	3	2	3	2	2	2	4	4	2	3	2	2	2	3	2	10300107	1030	7.01453309430052	DNK	0
2	2	2	2	2	2	2	3	3	2	2	2	2	3	2	2	10300108	1030	7.01453309430052	DNK	0
2	2	2	2	1	2	1	3	2	2	3	2	2	1	3	2	10300110	1030	7.01453309430052	DNK	0
2	2	2	3	2	1	1	4	4	1	4	2	2	2	2	2	10300111	1030	7.01453309430052	DNK	0
2	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	10300112	1030	7.01453309430052	DNK	0
2	2	3	2	2	2	2	4	4	2	3	2	2	3	2	2	10300113	1030	7.01453309430052	DNK	0
3	2	3	2	2	2	2	3	3	2	3	3	3	3	3	3	10300114	1030	7.01453309430052	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10300115	1030	7.01453309430052	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10300116	1030	7.01453309430052	DNK	1
2	1	2	2	1	1	2	3	4	1	3	2	2	3	3	1	10300117	1030	7.01453309430052	DNK	1
1	1	1	1	1	1	1	4	4	1	3	1	1	2	3	1	10300202	1030	6.48402218800888	DNK	0
4	2	3	2	2	1	1	4	4	1	4	2	2	2	2	3	10300203	1030	6.48402218800888	DNK	0
2	2	2	2	1	1	2	3	3	1	1	2	2	2	3	2	10300204	1030	6.48402218800888	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	4	4	10300205	1030	6.48402218800888	DNK	0
2	2	2	1	1	1	1	4	4	1	4	1	1	3	3	1	10300206	1030	6.48402218800888	DNK	0
1	1	1	1	1	1	1	4	4	1	1	1	1	1	2	1	10300207	1030	6.48402218800888	DNK	0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10300208	1030	6.48402218800888	DNK	.
1	1	1	1	1	1	1	4	4	1	4	3	3	1	3	1	10300209	1030	6.48402218800888	DNK	0
3	2	2	2	2	1	1	4	4	1	3	1	1	1	2	2	10300210	1030	6.48402218800888	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10300211	1030	6.48402218800888	DNK	0
2	2	3	2	3	1	1	4	4	1	4	2	2	3	2	3	10300212	1030	6.48402218800888	DNK	0
2	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10300213	1030	6.48402218800888	DNK	0
4	3	3	4	4	1	1	4	4	1	4	4	4	4	4	4	10300214	1030	6.48402218800888	DNK	0
2	1	2	2	1	1	1	4	4	1	3	2	2	2	2	2	10300215	1030	6.48402218800888	DNK	1
2	2	2	2	2	1	1	4	4	1	3	2	2	2	2	2	10300216	1030	6.48402218800888	DNK	1
3	1	2	2	2	1	1	3	4	1	2	2	2	2	2	2	10300217	1030	6.48402218800888	DNK	1
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10300218	1030	6.48402218800888	DNK	.
3	2	3	2	3	1	1	4	4	1	3	2	2	3	3	2	10300219	1030	6.48402218800888	DNK	1
3	2	2	2	2	1	1	4	4	1	4	2	2	2	2	2	10300220	1030	6.48402218800888	DNK	1
3	2	2	2	2	1	1	4	4	1	4	2	1	2	3	3	10300222	1030	6.48402218800888	DNK	1
1	1	1	2	1	1	1	4	4	1	4	1	1	1	3	1	10300223	1030	6.48402218800888	DNK	1
.	.	.	.	.	2	1	3	3	2	3	.	.	.	.	.	10310101	1031	11.4944014507772	DNK	0
1	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10310102	1031	11.4944014507772	DNK	1
2	2	1	2	1	1	1	4	4	1	4	1	1	1	2	1	10310103	1031	11.4944014507772	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	2	1	10310104	1031	11.4944014507772	DNK	1
2	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10310105	1031	11.4944014507772	DNK	0
2	1	1	2	1	1	1	.	4	1	4	1	1	1	1	1	10310106	1031	11.4944014507772	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10310107	1031	11.4944014507772	DNK	1
2	2	2	3	2	1	1	4	4	4	3	2	2	2	2	2	10310108	1031	11.4944014507772	DNK	0
2	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10310109	1031	11.4944014507772	DNK	1
2	1	1	2	1	1	1	4	4	1	4	1	1	1	1	1	10310110	1031	11.4944014507772	DNK	0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	10310111	1031	11.4944014507772	DNK	.
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10310112	1031	11.4944014507772	DNK	1
2	2	1	2	2	1	1	4	4	1	3	1	1	1	2	1	10310113	1031	11.4944014507772	DNK	1
3	1	1	3	1	1	1	4	4	1	4	1	1	1	1	1	10310114	1031	11.4944014507772	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10310115	1031	11.4944014507772	DNK	1
1	2	2	2	2	1	1	4	4	2	4	2	2	1	2	2	10310116	1031	11.4944014507772	DNK	1
2	2	2	2	2	1	1	4	.	1	3	2	2	2	3	2	10310117	1031	11.4944014507772	DNK	1
2	1	1	1	1	1	1	4	4	1	4	1	1	2	2	1	10310118	1031	11.4944014507772	DNK	0
2	1	1	2	2	1	1	4	4	1	4	2	2	2	2	2	10310119	1031	11.4944014507772	DNK	0
2	1	1	1	1	2	2	3	1	2	2	1	1	1	3	2	10310120	1031	11.4944014507772	DNK	0
2	3	1	3	3	1	2	3	2	4	2	2	3	2	3	3	10310121	1031	11.4944014507772	DNK	0
2	2	1	2	1	1	1	4	4	1	4	2	2	2	2	2	10310122	1031	11.4944014507772	DNK	0
1	1	1	1	1	1	1	4	4	1	4	1	1	2	2	1	10310123	1031	11.4944014507772	DNK	1
1	1	1	1	1	1	1	4	4	1	4	1	1	1	1	1	10310124	1031	11.4944014507772	DNK	1
2	2	2	4	2	2	2	4	4	1	4	1	1	1	1	1	10320101	1032	14.1989664980189	DNK	1
2	1	1	1	1	1	1	4	4	1	4	1	1	1	3	1	10320102	1032	14.1989664980189	DNK	0
